Item Code,Item Name,Principal,Brand,Transportation Cost
3502111002,P1 Choco Milk Popcorn 30g (1x60),Trine,P1,Ton
5001111001,May Kha Lar Preserved 5 in 1 Sweet 45g (1x5x50pack),CMP Fruits Garden,May Kha Lar,Ton
5001111002,May Kha Lar Preserved Marian Spicy 40g (1x5x70pack),CMP Fruits Garden,May Kha Lar,Ton
5001111003,May Kha Lar Preserved Mango Slices Spicy 40g (1x5x70pack),CMP Fruits Garden,May Kha Lar,Ton
5001111004,May Kha Lar Preserved Plum Seedless Sweet 65g (1x5x40pack),CMP Fruits Garden,May Kha Lar,Ton
5001111005,May Kha Lar Preserved Plum Seedless Spicy 65g (1x5x40pack),CMP Fruits Garden,May Kha Lar,Ton
0203112010,Glucerna Powder (Vanilla) 380g (1x24Pcs),Abbott,Glucerna,Ton
0203112011,Glucerna Powder (Vanilla) 800g (1x12Pcs),Abbott,Glucerna,Ton
0201112025,Ensure Gold Vanilla 380gm (1x24Pcs),Abbott,Ensure,Ton
0201112026,Ensure Gold Vanilla 800gm (1x12Pcs),Abbott,Ensure,Ton
4901111001,Danuphyu Daw Saw Yee Balachaung Streamer - 25g 10's ( 1x 20 streamers),Danuphyu Daw Saw Yee,Danuphyu Daw Saw Yee,Ton
4901111002,Danuphyu Daw Saw Yee Pounded Fish Paste Streamer- 25g 10's ( 1x 20 streamers),Danuphyu Daw Saw Yee,Danuphyu Daw Saw Yee,Ton
4901112003,Danuphyu Daw Saw Yee Balachaung 500g Pack ( 1 x 10 packs),Danuphyu Daw Saw Yee,Danuphyu Daw Saw Yee,Ton
4901112004,Danuphyu Daw Saw Yee Pounded Fish Paste 500g Pack (1 x10 packs),Danuphyu Daw Saw Yee,Danuphyu Daw Saw Yee,Ton
3102211014,O'Ma Ma Coconut Bun 55g (1x1pcs),O'Ma Ma,O'MaMa,Ton
3102211015,O'Ma Ma Chili Chicken Floss 55g (1x1pcs),O'Ma Ma,O'MaMa,Ton
4801111001,Pai Cheese Ring 10g (10pcsx20packs),Htoo Kaung Myat,Pai Snack,3000
4801111002,Pai Cheese Ball 10g (10pcsx20packs),Htoo Kaung Myat,Pai Snack,3000
4500000001,Excel Care Dish Washing Liquid Lime 480ml FOC,Glamdust,Excel Care,Ton
4500000002,Excel Care Dish Washing Liquid Lemon 480ml FOC,Glamdust,Excel Care,Ton
4500000003,Excel Care Dish Washing Liquid Lemon 1Liter FOC,Glamdust,Excel Care,Ton
3202121001,May Yee Mon pickled tea and fried bean Spicy&Sour 50g (1x5x20),Ya Thar Taw Win,May Yee Mon,Ton
3202121002,May Yee Mon pickled tea and fried bean Original 50g (1x5x20),Ya Thar Taw Win,May Yee Mon,Ton
3102211011,O'MAMA Strawberry Cream Bun 55G (1x1pcs),O'Ma Ma,O'MaMa,Ton
3102211012,O'MAMA Chocolate Bun 55G (1x1pcs),O'Ma Ma,O'MaMa,Ton
3102211013,O'MaMa Danish Blueberry 55g (1x1pcs),O'Ma Ma,O'MaMa,Ton
4700000001,Sam Par Oo Purify Drinking Water 1LT (FOC),Vitaspring,Sam Par Oo,Ton
4700000002,Sam Par Oo Purify Drinking Water 550ML (FOC),Vitaspring,Sam Par Oo,Ton
4700000003,Sam Par Oo Purify Drinking Water 300ML (FOC),Vitaspring,Sam Par Oo,Ton
4700000004,Mingalarpar Purify Drinking Water 1LT (FOC),Vitaspring,Mingalarpar,Ton
4701111001,Sam Par Oo Purify Drinking Water 6p 1LT,Vitaspring,Sam Par Oo,Ton
4701111002,Sam Par Oo Purify Drinking Water 12p 550ML,Vitaspring,Sam Par Oo,Ton
4701111003,Sam Par Oo Purify Drinking Water 12p 300ML,Vitaspring,Sam Par Oo,Ton
4702111001,Mingalarpar Purify Drinking Water 6p 1LT,Vitaspring,Mingalarpar,Ton
4300000001,Nagar Pyan 3in1 Tea mix 30's 200g(1x32) - FOC,Nagar Pyan,Nagar Pyan,Ton
4601311002,Vita Health Flaxseed Oil (3x10capx158),Vita Health,Vita Health,Ton
4601311003,Vita Health Fish Oil (3x10capx158),Vita Health,Vita Health,Ton
4601311004,Vita Health Almond Oil (3x10capx158),Vita Health,Vita Health,Ton
4601311005,Vita Health Co-Enzyme Q10 (10x10capx100),Vita Health,Vita Health,Ton
4501111002,Excel Care Dish Washing Liquid Lemon 480ml  (1x24),Glamdust,Excel Care,Ton
4501111003,Excel Care Dish Washing Liquid Lemon 5liter  (1x4),Glamdust,Excel Care,Ton
4501111004,Excel Care Dish Washing Liquid Lemon 2Liter (1x8),Glamdust,Excel Care,Ton
4501111005,Excel Care Dish Washing Liquid Lemon 1Liter (1x12),Glamdust,Excel Care,Ton
4601111001,Vita Health OraZinc 100 Tab (1x220),Vita Health,Vita Health,Ton
4601112001,Vita Health MV Ener-G (3x10capx72),Vita Health,Vita Health,Ton
4601212001,Vita Health MV Ener-G Kids Syrup 200ml (1x25),Vita Health,Vita Health,Ton
4601311001,Vita Health Garlic Oil (3x10capx158),Vita Health,Vita Health,Ton
4501111001,Excel Care Dish Washing Liquid Lime 480ml (1x24),Glamdust,Excel Care,Ton
4401111001,Pyar Dee Butter Cake Rusk 35g (1x60),Pyar Dee,Pyar Dee,Ton
4301111001,Nagar Pyan 3in1 Tea mix 30's 200g(1x32),Nagar Pyan,Nagar Pyan,Ton
4301111002,Nagar Pyan 3in1 Tea mix 10's 200g(1x30),Nagar Pyan,Nagar Pyan,Ton
4001111004,Moshi Potato Chips Original 38g (1x10x12pcs),Honesty,Moshi,3000
4001111005,Moshi Potato Chips Spicy 38g (1x10x12pcs),Honesty,Moshi,3000
3701111003,Kyu Kyu Hmwe Fish Sauce Salty 900ml (1x12),Kyu Kyu Hmwe,Kyu Kyu Hmwe,Ton
4000000001,Moshi Potato Chips BBQ Spicy 65g 3's (1x20pack),Honesty,Moshi,3000
4000000002,Moshi Potato Chips BBQ Prawn 65g 3's (1x20pack),Honesty,Moshi,3000
3102211005,O'MaMa Cheese Pudding Bun with Filling 55g (1x1pcs),O'Ma Ma,O'MaMa,Ton
3102211006,O'MaMa Danish Strawberry 55g (1x1pcs),O'Ma Ma,O'MaMa,Ton
3102211009,O'MaMa Milk Toast Slice Bread 315g (1x1pcs),O'Ma Ma,O'MaMa,Ton
3102211010,O'MaMa Sandwich Bread 200g (1x1pcs),O'Ma Ma,O'MaMa,Ton
0203112008,Glucerna Powder (Vanilla) 400g (1x24Pcs),Abbott,Glucerna,Ton
0203112009,Glucerna Powder (Vanilla) 850g (1x12Pcs),Abbott,Glucerna,Ton
3102111004,O'MaMa Mixed Fruit Cake Rusk 65g (1x72),O'Ma Ma,O'MaMa,Ton
0200000180,Ensure Gold (Vanilla) Gift Pack (400g x 2 pcs),Abbott,Ensure,Ton
0200000178,Pediasure 3+ Vanilla 850g with Mini Peptides Can Top Sticker (1x12pcs),Abbott,Pediasure,Ton
0300000071,BBN 1.5oz Bundle Pack (1x12x4),Suntory Beverage,BBN,Ton
0201112024,Ensure Non-HMB Vanilla 400gm (1x24Pcs),Abbott,Ensure,Ton
3102211001,O'MaMa Cheese Custard Solo pack 55g (1x1pcs),O'Ma Ma,O'MaMa,Ton
3102211002,O'MaMa Cheese Mayo Solo pack 55g (1x1pcs),O'Ma Ma,O'MaMa,Ton
3401121002,Maymyo Fresh Nature Blend Coffee 100g (1x100Pack),MayMyo Fresh Coffee,Maymyo Fresh,Ton
3401121003,Maymyo Fresh Nature Blend Coffee 200g (1x60Pack),MayMyo Fresh Coffee,Maymyo Fresh,Ton
3401211001,Maymyo Burmese Milk Tea 10's (1x30Pack),MayMyo Fresh Coffee,Maymyo Fresh,Ton
0208111017,Similac Follow On PRODI-G and 5HMOs 850g (1x12pcs),Abbott,Similac,Ton
0208121015,Similac Infant PRODI-G and 5 HMOs 400g(1x24 pcs),Abbott,Similac,Ton
0208121016,Similac Infant PRODI-G and 5 HMOs 850g(1x12pcs),Abbott,Similac,Ton
0206123004,Pediasure 3+ Vanilla 850g  with Mini Peptides (1x12pcs),Abbott,Pediasure,Ton
0206123006,Pediasure 3+ Vanilla 48.6g sachet   with Mini Peptides (1x100pcs),Abbott,Pediasure,Ton
0206123007,Pediasure 3+ Strawberry  48.6g sachet   with Mini Peptides (1x100pcs),Abbott,Pediasure,Ton
0206123001,Pediasure 1+ Vanilla 400g  with Mini Peptides (1x24pcs),Abbott,Pediasure,Ton
0206123003,Pediasure 3+ Vanilla 400g  with Mini Peptides (1x24pcs),Abbott,Pediasure,Ton
4101111001,Sardines in Tomato Sauce 155g (1x100),Yummee,Yummee,Ton
3202111001,May Yee Mon Rakhine Fish Paste 50g (1x5x20packs),Ya Thar Taw Win,May Yee Mon,Ton
3202111002,May Yee Mon Marine Fish Paste 50g (1x5x20packs),Ya Thar Taw Win,May Yee Mon,Ton
3202111003,May Yee Mon Fish Sauce 50g (1x5x20packs),Ya Thar Taw Win,May Yee Mon,Ton
4001111003,Moshi Potato Chips BBQ Prawn 65g (1x60pcs),Honesty,Moshi,3000
4001111001,Moshi Potato Chips BBQ Spicy 65g (1x60pcs),Honesty,Moshi,3000
4001111002,Moshi Potato Chips BBQ Original 65g (1x60pcs),Honesty,Moshi,3000
3801111001,Wasuka Crepes Choco Banana Flavored 50g(1x60),Win Food,Wasuka,Ton
3801111003,Wasuka Crepes Orange Flavored 50g(1x60),Win Food,Wasuka,Ton
3701111001,Kyu Kyu Hmwe Fish Sauce 850ml (1x12),Kyu Kyu Hmwe,Kyu Kyu Hmwe,Ton
1222401006,Sim Card WCDMA (Blank SIM-Promotion Card),MPT,Sim,Ton
0211111001,Nepro Low Protein 400g (1 x 24pcs),Abbott,Nepro,Ton
0211111002,Nepro High Protein 400g (1 x 24pcs),Abbott,Nepro,Ton
3501111001,Mobicorn Premium Popcorn Crunchy Caramel 75g (1x100),Trine,Mobicorn,Ton
3501111002,Mobicorn Premium Popcorn Choco Crunch 75g (1x100),Trine,Mobicorn,Ton
3501111003,Mobicorn Premium Popcorn cheesy Kraze 75g (1x100),Trine,Mobicorn,Ton
3501111004,Mobicorn Premium Popcorn Nutty Delight 75g (1x100),Trine,Mobicorn,Ton
3502111001,P1 Cheesy Pearl Popcorn 30g (1x60),Trine,P1,Ton
3102111001,O'MaMa Butter Cake Rusk 150g (1x40),O'Ma Ma,O'MaMa,Ton
3102111002,O'MaMa Cheese Cake Rusk 150g (1x40),O'Ma Ma,O'MaMa,Ton
3102111003,O'MaMa Chocolate Cake Rusk 150g (1x40),O'Ma Ma,O'MaMa,Ton
2802311001,Nature's Way Adult Complete Multivitamin  200 Tablets (1x12pcs),Pharma Care,Nature's Way,Ton
2802321001,Nature's Way Adult Fish Oil 1000mg 200 Soft Capsules (1x12pcs),Pharma Care,Nature's Way,Ton
3401111001,Maymyo Fresh Classic 20's 500g (1x50Pack),MayMyo Fresh Coffee,Maymyo Fresh,Ton
3401111002,Maymyo Fresh Classic 5's 120g (1x200Pack),MayMyo Fresh Coffee,Maymyo Fresh,Ton
3401111003,Maymyo Fresh Classic Plus 10's 260g (1x60Pack),MayMyo Fresh Coffee,Maymyo Fresh,Ton
3401111004,Maymyo Fresh Brown 20's 500g (1x50Pack),MayMyo Fresh Coffee,Maymyo Fresh,Ton
3401111005,Maymyo Fresh Brown 5's 120g (1x200Pack),MayMyo Fresh Coffee,Maymyo Fresh,Ton
3305111001,Quaker Instant Oatmeal  400g (1x24),Pepsico,QUAKER OAT,Ton
3305111002,Quaker Instant Oatmeal  800g (1x12),Pepsico,QUAKER OAT,Ton
3305111004,Quaker Quick Cook Oatmeal  800g (1x12),Pepsico,QUAKER OAT,Ton
3305112001,Quaker Instant Oatmeal 1kg (1x12),Pepsico,QUAKER OAT,Ton
3001111002,Clorox Liquid Bleach Original 1L (1x12Pcs),Clorox,Clorox,Ton
0200000139,Similac Total Comfort Stage 3 (ML) 820gm with Can top Sticker (1x12pcs),Abbott,Similac,Ton
0301181001,Brand's Berry Essence Concentrate (1X72),Suntory Beverage,BBE,Ton
0301181002,Brand's Prune Essence Concentrate (1X72),Suntory Beverage,BPE,Ton
2301111007,Gullon Sugar Free Cookie Choco Chip 125g (1x12),Gullon,Gullon,Ton
2301112001,Gullon Sugar Free Wafer Vanilla 3'S 180g (1x12),Gullon,Gullon,Ton
0301122011,BEC Junior Chocolate 1.5oz (1x72Pcs),Suntory Beverage,BEC,Ton
0100000213,Oral B Shiny Clean 35 Soft BCd On Pack (1x6Pcs),P&G,Oral-B,Ton
0701104019,NONG SHIM Shin Kimchi Ramyun Noodle 120g (1x40),Nong Shim,NONG SHIM,Ton
2301111001,Gullon Sugar Free Fibre Biscuits 170g (1x16),Gullon,Gullon,Ton
2301111002,Gullon Sugar Free Digestive Biscuits (Cookies) 400g (1x15),Gullon,Gullon,Ton
2301111003,Gullon Digestive Classics Biscuits 400g (1x20),Gullon,Gullon,Ton
2301111004,Gullon Cuor Di Cereale Chocolate Biscuits 280g (1x16),Gullon,Gullon,Ton
0300000057,Brand’s Prune 1.5oz Price Off Promotion (1x6pcs),Suntory Beverage,BPE,Ton
0300000058,Brand’s Berry 1.5oz Price Off Promotion (1x6pcs),Suntory Beverage,BBE,Ton
0301112009,BNSF Collagen 1.5oz (1x48),Suntory Beverage,BBN,Ton
2201111001,Dr Care Disinfectant Liquid 750ml (1x12),Dr.Care,Dr Care,Ton
0106122013,Head & Shoulders-12ml (Menthol)(1x42Dz),P&G,Head&Shoulder,Ton
0701104018,NONG SHIM Shin Red Super Spicy Noodle 120g (1x20),Nong Shim,NONG SHIM,Ton
0106122011,Head & Shoulders-12ml (Silky Smooth) (1x36Dz),P&G,Head&Shoulder,Ton
0201112017,Ensure Gold Strawberry 400gm (1x24Pcs),Abbott,Ensure,Ton
0201112018,Ensure Gold Strawberry 850gm (1x12Pcs),Abbott,Ensure,Ton
1900000001,Equal Classic 50`S 50g with 10`S FOC (Promo Pack) (1x12),Merisant,Equal,Ton
1900000002,Equal Classic 100`S 100g with 20`S FOC (Promo Pack) (1x36),Merisant,Equal,Ton
1222401005,Sim Card WCDMA (Beautiful Number SIM Card),MPT,Sim,Ton
0200000113,Ensure Gold Wheat 400gm with Can Top Sticker (1x24Pcs),Abbott,Ensure,Ton
0200000114,Ensure Gold Wheat 850gm with Can Top Sticker (1x12Pcs),Abbott,Ensure,Ton
0101121009,Ambi Pur Aerosol Blue Ocean 300ml (1x6Pcs),P&G,Ambi Pur,Ton
0101121012,Ambi Pur Aerosol Lavender Breeze 300ml (1x6Pcs),P&G,Ambi Pur,Ton
0101122004,Ambi Pur GEL Fresh Relaxing Lavender 180g (1x12Pcs),P&G,Ambi Pur,Ton
0101122005,Ambi Pur GEL Fresh Refreshing Lemon 180g (1x12Pcs),P&G,Ambi Pur,Ton
0110122005,Pantene 10ml-(Hair Fall Control)(1x40Dz),P&G,Pantene,Ton
0113111003,Whisper Heavy Flow -16's(1x12Pcs),P&G,Whispers,Ton
0113112007,Whisper Regular Flow Wing -20's(1x12Pcs),P&G,Whispers,Ton
0200000037,Similac Gain IQ PRODI-G and 5HMOs 400gm with Can Top Sticker (1x24Pcs),Abbott,Similac,Ton
0200000040,Glucerna Powder with 4xInositol (Vanilla) 850g with Can Top Sticker (1x12Pcs),Abbott,Glucerna,Ton
0200000087,Similac Gain IQ PRODI-G and 5HMOs 850gm with Can Top Sticker (1x12Pcs),Abbott,Similac,Ton
0200000090,Similac Mum Eye-Q(IQ) Vanilla 400g with Can Top Sticker (1x24Pcs),Abbott,Similac,Ton
0201112013,Ensure Gold Vanilla 400gm (1x24Pcs),Abbott,Ensure,Ton
0201112015,Ensure Gold (Wheat) 400gm (1x24Pcs),Abbott,Ensure,Ton
0201112016,Ensure Gold (Wheat) 850gm (1x12Pcs),Abbott,Ensure,Ton
0201113005,Ensure Gold Vanilla Sachet 60.6gm (1x100Pcs),Abbott,Ensure,Ton
0203112005,Glucerna Powder Triple Care (Vanilla) 400gm (Thai Label) (1x24Pcs),Abbott,Glucerna,Ton
0208131004,Similac Mum Eye-Q(IQ) Strawberry Yoghurt 400g (1x24Pcs),Abbott,Similac,Ton
0208141003,Similac Neosure HMO 850gm (1x12Pcs),Abbott,Similac,Ton
0208211001,Similac Baby Changing Mat - Black Fabric(1x50Pcs),Abbott,FOC,Ton
0208211002,Similac Baby Changing Mat - Green Fabric(1x50Pcs),Abbott,FOC,Ton
0207112001,Prosure Orange  380gm (1x24),Abbott,Prosure,Ton
0105111001,Gillette MACH 3 Cart 4's Blade(1x72pcs),P&G,Gillette,Ton
0105111011,Gillette MACH 3 Cart 2's Blade(1x72pcs),P&G,Gillette,Ton
0105111012,Gillette Fusion Cart 2s(1x40Pcs),P&G,Gillette,Ton
0105112001,Gillette Blue II Plus dis  2 sent(1 x240Pcs),P&G,Gillette,Ton
0105112002,Gillette Blue II Plus dis  5 sent(1 x144Pcs),P&G,Gillette,Ton
