Item Code,Item Name,Principal,Brand,Transportation Cost
0801112004,Philips Lifemax Tubelight TL-D 36W/54-765(1x25Pcs),Philips,Philips,Ton
0801112007,Philips Brightboost Super 80 Tubelight TL-D 36W/840(1x25Pcs),Philips,Philips,Ton
0801114001,Philips Essential Cool Daylight TCH086 TL5-28W/865(1x24pcs),Philips,Philips,Ton
1901111001,Equal Classic 15`S 15g (1x36),Merisant,Equal,Ton
1901111002,Equal Classic 25`S 25g (1x36),Merisant,Equal,Ton
1901111003,Equal Classic 50`S 50g (1x12),Merisant,Equal,Ton
1901111004,Equal Classic 100`S 100g (1x36),Merisant,Equal,Ton
1901311001,Equal Gold 50`S 40G(1x12),Merisant,Equal,Ton
1901311002,Equal Gold 150g (Sugarly) (1x12),Merisant,Equal,Ton
1901411002,Equal Stevia 40`S 80g (1x6),Merisant,Equal,Ton
1901411003,Equal Stevia 100`S 200g (1x12),Merisant,Equal,Ton
2001111001,1 Stop E Money,1 Stop,Top-up,Ton
2101111002,Healthy Chef Soybean 1L (1x12),TVO,Healthy Chef,Ton
2101111005,Healthy Chef Sunflower 1L (1x12),TVO,Healthy Chef,Ton
