PickID,PickDate,Remark,VANCode,TotalWeight,Status,BranchCode,DocEntry,DocNum,CardCode,CardName,ItemCode,Description,Quantity,UoM,ItemWeight,WhsCode,U_DocNum
00120251204055331843,12/5/2025,HTY SHOP-40,VO99063,172.61,C,001,5379317,8379316,C00107962,??????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,DC-YGN01,00120251204114748043
01620251204035823093,12/5/2025,"Inv-18, Bago, Thatnatpin, Minywar",VO99082,101.93,C,016,5379323,8379322,C01601696,????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),10,streamer,3.166667,WH-BGO99,01620251204115217870
00120251204055350787,12/5/2025,SPT                 Inv;24,VO99037,152.53,C,001,5379321,8379320,C00130678,?????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),90,streamer,28.5,DC-YGN01,00120251204115055400
00120251204055350787,12/5/2025,SPT                 Inv;24,VO99037,152.53,C,001,5379321,8379320,C00130678,?????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,DC-YGN01,00120251204115055400
00220251204030608007,12/5/2025,INV(19),VO99040,140.01,C,002,5379408,8379407,C00202299,????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,WH-MDY01,00220251204122858467
01820251204030452237,12/5/2025,Down Town Invo-10 SML,VO99068,50.09,C,018,5379401,8379400,C01800076,???????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,WH-TGU01,01820251204122556120
00120251204055350787,12/5/2025,SPT                 Inv;24,VO99037,152.53,C,001,5379403,8379402,C00111300,??????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,DC-YGN01,00120251204122757973
00120251204055350787,12/5/2025,SPT                 Inv;24,VO99037,152.53,C,001,5379404,8379403,C00111300,??????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,DC-YGN01,00120251204122758923
00120251204055331843,12/5/2025,HTY SHOP-40,VO99063,172.61,C,001,5379402,8379401,C00145440,??????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),1,streamer,0.316667,DC-YGN01,00120251204122756470
00520251204025447907,12/5/2025,"MMZ ,KS Inv [ 31 ]",VO99028,156.27,C,005,5379400,8379399,C00500623,Shwe Kaung Kin,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,WH-NPT01,00520251204122554193
