Item Code,Item Name,Is Active,Principal,Brand,UOM,Purchase Weight,Transportation Cost
0200000139,Similac Total Comfort Stage 3 (ML) 820gm with Can top Sticker (1x12pcs),Active,Abbott,Similac,12,12.36,850
0301181001,Brand's Berry Essence Concentrate (1X72),Active,Suntory Beverage,BBE,72,10.4,850
0301181002,Brand's Prune Essence Concentrate (1X72),Active,Suntory Beverage,BPE,72,10.4,850
2301111007,Gullon Sugar Free Cookie Choco Chip 125g (1x12),Active,Gullon,Gullon,12,1.8,850
2301112001,Gullon Sugar Free Wafer Vanilla 3'S 180g (1x12),Active,Gullon,Gullon,12,2.45,850
0301122011,BEC Junior Chocolate 1.5oz (1x72Pcs),Active,Suntory Beverage,BEC,72,9.13,850
0100000213,Oral B Shiny Clean 35 Soft BCd On Pack (1x6Pcs),Active,P&G,Oral-B,16,2.05,850
0701104019,NONG SHIM Shin Kimchi Ramyun Noodle 120g (1x40),Active,Nong Shim,NONG SHIM,40,5.65,850
2301111001,Gullon Sugar Free Fibre Biscuits 170g (1x16),Active,Gullon,Gullon,16,2.91,850
2301111002,Gullon Sugar Free Digestive Biscuits (Cookies) 400g (1x15),Active,Gullon,Gullon,15,6.74,850
2301111003,Gullon Digestive Classics Biscuits 400g (1x20),Active,Gullon,Gullon,20,8.35,850
2301111004,Gullon Cuor Di Cereale Chocolate Biscuits 280g (1x16),Active,Gullon,Gullon,16,4.72,850
0300000057,Brand’s Prune 1.5oz Price Off Promotion (1x6pcs),Active,Suntory Beverage,BPE,12,10.4,850
0300000058,Brand’s Berry 1.5oz Price Off Promotion (1x6pcs),Active,Suntory Beverage,BBE,12,10.4,850
0301112009,BNSF Collagen 1.5oz (1x48),Active,Suntory Beverage,BBN,48,6.9,850
2201111001,Dr Care Disinfectant Liquid 750ml (1x12),Active,Dr.Care,Dr Care,12,10.53,850
0106122013,Head & Shoulders-12ml (Menthol)(1x42Dz),Active,P&G,Head&Shoulder,42,7.22,850
0701104018,NONG SHIM Shin Red Super Spicy Noodle 120g (1x20),Active,Nong Shim,NONG SHIM,20,2.88,850
0106122011,Head & Shoulders-12ml (Silky Smooth) (1x36Dz),Active,P&G,Head&Shoulder,36,6.25,850
0201112017,Ensure Gold Strawberry 400gm (1x24Pcs),Active,Abbott,Ensure,24,12.58,850
0201112018,Ensure Gold Strawberry 850gm (1x12Pcs),Active,Abbott,Ensure,12,12.95,850
1900000001,Equal Classic 50`S 50g with 10`S FOC (Promo Pack) (1x12),Active,Merisant,Equal,12,6.85,850
1900000002,Equal Classic 100`S 100g with 20`S FOC (Promo Pack) (1x36),Active,Merisant,Equal,36,1.33,850
1222401005,Sim Card WCDMA (Beautiful Number SIM Card),Active,MPT,Sim,1,0,850
0200000113,Ensure Gold Wheat 400gm with Can Top Sticker (1x24Pcs),Active,Abbott,Ensure,24,12.95,850
0200000114,Ensure Gold Wheat 850gm with Can Top Sticker (1x12Pcs),Active,Abbott,Ensure,12,12.95,850
0101121009,Ambi Pur Aerosol Blue Ocean 300ml (1x6Pcs),Active,P&G,Ambi Pur,6,1.67,850
0101121012,Ambi Pur Aerosol Lavender Breeze 300ml (1x6Pcs),Active,P&G,Ambi Pur,6,1.67,850
0101122004,Ambi Pur GEL Fresh Relaxing Lavender 180g (1x12Pcs),Active,P&G,Ambi Pur,12,2.96,850
0101122005,Ambi Pur GEL Fresh Refreshing Lemon 180g (1x12Pcs),Active,P&G,Ambi Pur,12,2.96,850
0110122005,Pantene 10ml-(Hair Fall Control)(1x40Dz),Active,P&G,Pantene,40,5.92,850
0113111003,Whisper Heavy Flow -16's(1x12Pcs),Active,P&G,Whispers,12,2.2,850
0113112007,Whisper Regular Flow Wing -20's(1x12Pcs),Active,P&G,Whispers,12,2.36,850
0200000037,Similac Gain IQ PRODI-G and 5HMOs 400gm with Can Top Sticker (1x24Pcs),Active,Abbott,Similac,24,12.98,850
0200000040,Glucerna Powder with 4xInositol (Vanilla) 850g with Can Top Sticker (1x12Pcs),Active,Abbott,Glucerna,12,12.95,850
0200000087,Similac Gain IQ PRODI-G and 5HMOs 850gm with Can Top Sticker (1x12Pcs),Active,Abbott,Similac,12,14.2,850
0200000090,Similac Mum Eye-Q(IQ) Vanilla 400g with Can Top Sticker (1x24Pcs),Active,Abbott,Similac,24,10,850
0201112013,Ensure Gold Vanilla 400gm (1x24Pcs),Active,Abbott,Ensure,24,12.58,850
0201112015,Ensure Gold (Wheat) 400gm (1x24Pcs),Active,Abbott,Ensure,24,12.58,850
0201112016,Ensure Gold (Wheat) 850gm (1x12Pcs),Active,Abbott,Ensure,12,12.95,850
0201113005,Ensure Gold Vanilla Sachet 60.6gm (1x100Pcs),Active,Abbott,Ensure,100,6.33,850
0203112005,Glucerna Powder Triple Care (Vanilla) 400gm (Thai Label) (1x24Pcs),Active,Abbott,Glucerna,24,12.5,850
0208131004,Similac Mum Eye-Q(IQ) Strawberry Yoghurt 400g (1x24Pcs),Active,Abbott,Similac,24,10,850
0208141003,Similac Neosure HMO 850gm (1x12Pcs),Active,Abbott,Similac,12,13,850
0208211001,Similac Baby Changing Mat - Black Fabric(1x50Pcs),Active,Abbott,FOC,50,0,850
0208211002,Similac Baby Changing Mat - Green Fabric(1x50Pcs),Active,Abbott,FOC,50,12.71,850
0207112001,Prosure Orange  380gm (1x24),Active,Abbott,Prosure,24,12.16,850
0105111001,Gillette MACH 3 Cart 4's Blade(1x72pcs),Active,P&G,Gillette,72,2.45,850
0105111011,Gillette MACH 3 Cart 2's Blade(1x72pcs),Active,P&G,Gillette,72,2.17,850
0105111012,Gillette Fusion Cart 2s(1x40Pcs),Active,P&G,Gillette,40,19.34,850
0105112001,Gillette Blue II Plus dis  2 sent(1 x240Pcs),Active,P&G,Gillette,240,5.89,850
